Swapping columns 11, 14: Best Score: -1424.505065, Score: -1432.435321, Score: -1426.987769 Undoing swap!
Swapping columns 12, 15: Best Score: -1424.505065, Score: -1438.086847, Score: -1438.694658 Undoing swap!
Swapping columns 13, 16: Best Score: -1424.505065, Score: -1438.223190, Score: -1437.449406 Undoing swap!
Swapping columns 0, 4: Best Score: -1424.505065, Score: -1434.647168, Score: -1434.900490 Undoing swap!
Swapping columns 1, 5: Best Score: -1424.505065, Score: -1430.399443, Score: -1430.814689 Undoing swap!
Swapping columns 2, 6: Best Score: -1424.505065, Score: -1425.523749, Score: -1431.043128 Undoing swap!
Swapping columns 3, 7: Best Score: -1424.505065, Score: -1429.545033, Score: -1428.751937 Undoing swap!
Swapping columns 4, 8: Best Score: -1424.505065, Score: -1436.797826, Score: -1433.784009 Undoing swap!
Swapping columns 5, 9: Best Score: -1424.505065, Score: -1427.503735, Score: -1437.668571 Undoing swap!
Swapping columns 6, 10: Best Score: -1424.505065, Score: -1431.205027, Score: -1431.977200 Undoing swap!
Swapping columns 7, 11: Best Score: -1424.505065, Score: -1433.877507, Score: -1422.157000
Swapping columns 0, 1: Best Score: -1422.157000, Score: -1427.849907, Score: -1426.716925 Undoing swap!
Swapping columns 1, 2: Best Score: -1422.157000, Score: -1433.309190, Score: -1432.463489 Undoing swap!
Swapping columns 2, 3: Best Score: -1422.157000, Score: -1428.648538, Score: -1431.312569 Undoing swap!
Swapping columns 3, 4: Best Score: -1422.157000, Score: -1434.961129, Score: -1439.420821 Undoing swap!
Swapping columns 4, 5: Best Score: -1422.157000, Score: -1441.837654, Score: -1427.144926 Undoing swap!
Swapping columns 5, 6: Best Score: -1422.157000, Score: -1432.969839, Score: -1428.220202 Undoing swap!
Swapping columns 6, 7: Best Score: -1422.157000, Score: -1431.758957, Score: -1425.658412 Undoing swap!
Swapping columns 7, 8: Best Score: -1422.157000, Score: -1433.727110, Score: -1436.576547 Undoing swap!
Swapping columns 8, 9: Best Score: -1422.157000, Score: -1444.361793, Score: -1429.824987 Undoing swap!
Swapping columns 9, 10: Best Score: -1422.157000, Score: -1435.476883, Score: -1435.435422 Undoing swap!
Swapping columns 10, 11: Best Score: -1422.157000, Score: -1434.163714, Score: -1440.443416 Undoing swap!
Swapping columns 11, 12: Best Score: -1422.157000, Score: -1430.373061, Score: -1435.738241 Undoing swap!
Swapping columns 12, 13: Best Score: -1422.157000, Score: -1432.803571, Score: -1426.692982 Undoing swap!
Swapping columns 13, 14: Best Score: -1422.157000, Score: -1437.065403, Score: -1434.108432 Undoing swap!
Swapping columns 14, 15: Best Score: -1422.157000, Score: -1445.451691, Score: -1431.067068 Undoing swap!
Swapping columns 15, 16: Best Score: -1422.157000, Score: -1438.316496, Score: -1434.604660 Undoing swap!
Swapping columns 0, 2: Best Score: -1422.157000, Score: -1418.850738
Swapping columns 0, 1: Best Score: -1418.850738, Score: -1426.979884, Score: -1431.263605 Undoing swap!
Swapping columns 1, 2: Best Score: -1418.850738, Score: -1427.740840, Score: -1430.244192 Undoing swap!
Swapping columns 2, 3: Best Score: -1418.850738, Score: -1436.063805, Score: -1441.272151 Undoing swap!
Swapping columns 3, 4: Best Score: -1418.850738, Score: -1448.857187, Score: -1440.824488 Undoing swap!
Swapping columns 4, 5: Best Score: -1418.850738, Score: -1436.994277, Score: -1440.871326 Undoing swap!
