Swapping columns 2, 5: Best Score: -1423.144318, Score: -1431.263839, Score: -1435.817951 Undoing swap!
Swapping columns 3, 6: Best Score: -1423.144318, Score: -1435.434181, Score: -1433.240565 Undoing swap!
Swapping columns 4, 7: Best Score: -1423.144318, Score: -1438.837342, Score: -1438.957964 Undoing swap!
Swapping columns 5, 8: Best Score: -1423.144318, Score: -1434.189959, Score: -1429.523051 Undoing swap!
Swapping columns 6, 9: Best Score: -1423.144318, Score: -1427.856090, Score: -1423.224257 Undoing swap!
Swapping columns 7, 10: Best Score: -1423.144318, Score: -1434.945143, Score: -1436.019002 Undoing swap!
Swapping columns 8, 11: Best Score: -1423.144318, Score: -1431.315974, Score: -1432.122556 Undoing swap!
Swapping columns 9, 12: Best Score: -1423.144318, Score: -1431.572624, Score: -1438.308345 Undoing swap!
Swapping columns 10, 13: Best Score: -1423.144318, Score: -1440.965733, Score: -1436.939929 Undoing swap!
Swapping columns 11, 14: Best Score: -1423.144318, Score: -1427.064961, Score: -1431.486432 Undoing swap!
Swapping columns 12, 15: Best Score: -1423.144318, Score: -1429.572799, Score: -1434.413562 Undoing swap!
Swapping columns 13, 16: Best Score: -1423.144318, Score: -1442.947684, Score: -1437.276137 Undoing swap!
Swapping columns 0, 4: Best Score: -1423.144318, Score: -1438.634042, Score: -1425.412691 Undoing swap!
Swapping columns 1, 5: Best Score: -1423.144318, Score: -1429.740336, Score: -1423.731364 Undoing swap!
Swapping columns 2, 6: Best Score: -1423.144318, Score: -1442.201794, Score: -1426.352480 Undoing swap!
Swapping columns 3, 7: Best Score: -1423.144318, Score: -1429.003320, Score: -1430.788122 Undoing swap!
Swapping columns 4, 8: Best Score: -1423.144318, Score: -1440.336404, Score: -1432.258509 Undoing swap!
Swapping columns 5, 9: Best Score: -1423.144318, Score: -1426.760253, Score: -1431.530565 Undoing swap!
Swapping columns 6, 10: Best Score: -1423.144318, Score: -1432.784176, Score: -1441.224558 Undoing swap!
Swapping columns 7, 11: Best Score: -1423.144318, Score: -1427.648987, Score: -1432.238896 Undoing swap!
Swapping columns 8, 12: Best Score: -1423.144318, Score: -1431.474213, Score: -1433.493863 Undoing swap!
Swapping columns 9, 13: Best Score: -1423.144318, Score: -1437.470675, Score: -1423.256614 Undoing swap!
Swapping columns 10, 14: Best Score: -1423.144318, Score: -1434.050889, Score: -1433.920178 Undoing swap!
Swapping columns 11, 15: Best Score: -1423.144318, Score: -1427.628199, Score: -1429.121625 Undoing swap!
Swapping columns 12, 16: Best Score: -1423.144318, Score: -1437.887623, Score: -1432.738012 Undoing swap!
Swapping columns 0, 5: Best Score: -1423.144318, Score: -1432.944275, Score: -1432.360714 Undoing swap!
Swapping columns 1, 6: Best Score: -1423.144318, Score: -1430.791189, Score: -1444.067374 Undoing swap!
Swapping columns 2, 7: Best Score: -1423.144318, Score: -1430.237568, Score: -1431.987824 Undoing swap!
Swapping columns 3, 8: Best Score: -1423.144318, Score: -1424.418507, Score: -1434.231749 Undoing swap!
Swapping columns 4, 9: Best Score: -1423.144318, Score: -1435.267754, Score: -1439.109986 Undoing swap!
Swapping columns 5, 10: Best Score: -1423.144318, Score: -1428.578701, Score: -1436.022242 Undoing swap!
Swapping columns 6, 11: Best Score: -1423.144318, Score: -1425.220687, Score: -1429.679149 Undoing swap!
Swapping columns 7, 12: Best Score: -1423.144318, Score: -1429.324041, Score: -1436.487636 Undoing swap!
Swapping columns 8, 13: Best Score: -1423.144318, Score: -1432.287762, Score: -1438.593521 Undoing swap!
Swapping columns 9, 14: Best Score: -1423.144318, Score: -1429.975515, Score: -1435.279104 Undoing swap!
Swapping columns 10, 15: Best Score: -1423.144318, Score: -1439.134662, Score: -1431.992835 Undoing swap!
Swapping columns 11, 16: Best Score: -1423.144318, Score: -1433.250908, Score: -1436.304948 Undoing swap!
Swapping columns 0, 6: Best Score: -1423.144318, Score: -1442.407959, Score: -1430.336491 Undoing swap!
Swapping columns 1, 7: Best Score: -1423.144318, Score: -1432.864121, Score: -1423.632294 Undoing swap!
Swapping columns 2, 8: Best Score: -1423.144318, Score: -1428.424155, Score: -1428.415099 Undoing swap!
Swapping columns 3, 9: Best Score: -1423.144318, Score: -1436.212551, Score: -1437.928552 Undoing swap!
Swapping columns 4, 10: Best Score: -1423.144318, Score: -1433.821960, Score: -1426.081028 Undoing swap!
Swapping columns 5, 11: Best Score: -1423.144318, Score: -1427.700164, Score: -1429.633640 Undoing swap!
