Swapping columns 6, 8: Best Score: -1085.893922, Score: -1093.212973, Score: -1093.008361 Undoing swap!
Swapping columns 7, 9: Best Score: -1085.893922, Score: -1099.341621, Score: -1098.430195 Undoing swap!
Swapping columns 8, 10: Best Score: -1085.893922, Score: -1096.782653, Score: -1089.989997 Undoing swap!
Swapping columns 9, 11: Best Score: -1085.893922, Score: -1091.652866, Score: -1089.036740 Undoing swap!
Swapping columns 10, 12: Best Score: -1085.893922, Score: -1091.007454, Score: -1090.181355 Undoing swap!
Swapping columns 11, 13: Best Score: -1085.893922, Score: -1091.282748, Score: -1094.935339 Undoing swap!
Swapping columns 12, 14: Best Score: -1085.893922, Score: -1096.158590, Score: -1099.061047 Undoing swap!
Swapping columns 13, 15: Best Score: -1085.893922, Score: -1086.166290, Score: -1089.846802 Undoing swap!
Swapping columns 14, 16: Best Score: -1085.893922, Score: -1099.424290, Score: -1092.519052 Undoing swap!
Swapping columns 0, 3: Best Score: -1085.893922, Score: -1092.116743, Score: -1091.046969 Undoing swap!
Swapping columns 1, 4: Best Score: -1085.893922, Score: -1096.113450, Score: -1088.237420 Undoing swap!
Swapping columns 2, 5: Best Score: -1085.893922, Score: -1092.854223, Score: -1096.486589 Undoing swap!
Swapping columns 3, 6: Best Score: -1085.893922, Score: -1097.513096, Score: -1089.566094 Undoing swap!
Swapping columns 4, 7: Best Score: -1085.893922, Score: -1095.483535, Score: -1099.435975 Undoing swap!
Swapping columns 5, 8: Best Score: -1085.893922, Score: -1101.133053, Score: -1099.336560 Undoing swap!
Swapping columns 6, 9: Best Score: -1085.893922, Score: -1094.034491, Score: -1096.345933 Undoing swap!
Swapping columns 7, 10: Best Score: -1085.893922, Score: -1095.070710, Score: -1092.200300 Undoing swap!
Swapping columns 8, 11: Best Score: -1085.893922, Score: -1099.188272, Score: -1093.354310 Undoing swap!
Swapping columns 9, 12: Best Score: -1085.893922, Score: -1101.049031, Score: -1100.128829 Undoing swap!
Swapping columns 10, 13: Best Score: -1085.893922, Score: -1089.297029, Score: -1091.445345 Undoing swap!
Swapping columns 11, 14: Best Score: -1085.893922, Score: -1096.497694, Score: -1096.513630 Undoing swap!
Swapping columns 12, 15: Best Score: -1085.893922, Score: -1096.558043, Score: -1098.678140 Undoing swap!
Swapping columns 13, 16: Best Score: -1085.893922, Score: -1087.733594, Score: -1099.798714 Undoing swap!
Swapping columns 0, 4: Best Score: -1085.893922, Score: -1099.597612, Score: -1095.042302 Undoing swap!
Swapping columns 1, 5: Best Score: -1085.893922, Score: -1092.189089, Score: -1099.071810 Undoing swap!
Swapping columns 2, 6: Best Score: -1085.893922, Score: -1099.267031, Score: -1093.823755 Undoing swap!
Swapping columns 3, 7: Best Score: -1085.893922, Score: -1097.553775, Score: -1109.182531 Undoing swap!
Swapping columns 4, 8: Best Score: -1085.893922, Score: -1100.388524, Score: -1097.487392 Undoing swap!
Swapping columns 5, 9: Best Score: -1085.893922, Score: -1095.567742, Score: -1091.176799 Undoing swap!
Swapping columns 6, 10: Best Score: -1085.893922, Score: -1099.638960, Score: -1096.824893 Undoing swap!
Swapping columns 7, 11: Best Score: -1085.893922, Score: -1101.215936, Score: -1103.381146 Undoing swap!
Swapping columns 8, 12: Best Score: -1085.893922, Score: -1101.850291, Score: -1094.061021 Undoing swap!
Swapping columns 9, 13: Best Score: -1085.893922, Score: -1102.458383, Score: -1100.734544 Undoing swap!
Swapping columns 10, 14: Best Score: -1085.893922, Score: -1093.514130, Score: -1091.587455 Undoing swap!
Swapping columns 11, 15: Best Score: -1085.893922, Score: -1102.051881, Score: -1097.247874 Undoing swap!
Swapping columns 12, 16: Best Score: -1085.893922, Score: -1091.975964, Score: -1093.615282 Undoing swap!
Swapping columns 0, 5: Best Score: -1085.893922, Score: -1092.148674, Score: -1096.828139 Undoing swap!
Swapping columns 1, 6: Best Score: -1085.893922, Score: -1091.169198, Score: -1088.767642 Undoing swap!
Swapping columns 2, 7: Best Score: -1085.893922, Score: -1090.734370, Score: -1090.913466 Undoing swap!
Swapping columns 3, 8: Best Score: -1085.893922, Score: -1096.593105, Score: -1099.453733 Undoing swap!
Swapping columns 4, 9: Best Score: -1085.893922, Score: -1096.056853, Score: -1091.678393 Undoing swap!
Swapping columns 5, 10: Best Score: -1085.893922, Score: -1097.254236, Score: -1094.623988 Undoing swap!
Swapping columns 6, 11: Best Score: -1085.893922, Score: -1091.084088, Score: -1080.436835
Swapping columns 0, 1: Best Score: -1080.436835, Score: -1082.988271, Score: -1075.688245
Swapping columns 0, 1: Best Score: -1075.688245, Score: -1082.875005, Score: -1083.448665 Undoing swap!
Swapping columns 1, 2: Best Score: -1075.688245, Score: -1084.415460, Score: -1081.459746 Undoing swap!
Swapping columns 2, 3: Best Score: -1075.688245, Score: -1089.588926, Score: -1093.701446 Undoing swap!
Swapping columns 3, 4: Best Score: -1075.688245, Score: -1094.447824, Score: -1082.343546 Undoing swap!
Swapping columns 4, 5: Best Score: -1075.688245, Score: -1089.128068, Score: -1092.085077 Undoing swap!
Swapping columns 5, 6: Best Score: -1075.688245, Score: -1094.986245, Score: -1094.628813 Undoing swap!
Swapping columns 6, 7: Best Score: -1075.688245, Score: -1098.109523, Score: -1098.866662 Undoing swap!
Swapping columns 7, 8: Best Score: -1075.688245, Score: -1098.340794, Score: -1093.353293 Undoing swap!
Swapping columns 8, 9: Best Score: -1075.688245, Score: -1094.279444, Score: -1100.369088 Undoing swap!
Swapping columns 9, 10: Best Score: -1075.688245, Score: -1092.659304, Score: -1093.419870 Undoing swap!
Swapping columns 10, 11: Best Score: -1075.688245, Score: -1101.094056, Score: -1089.837881 Undoing swap!
Swapping columns 11, 12: Best Score: -1075.688245, Score: -1077.707059, Score: -1079.900178 Undoing swap!
Swapping columns 12, 13: Best Score: -1075.688245, Score: -1087.058800, Score: -1082.430036 Undoing swap!
Swapping columns 13, 14: Best Score: -1075.688245, Score: -1080.986158, Score: -1081.382855 Undoing swap!
Swapping columns 14, 15: Best Score: -1075.688245, Score: -1084.698040, Score: -1088.857841 Undoing swap!
Swapping columns 15, 16: Best Score: -1075.688245, Score: -1092.015218, Score: -1086.460004 Undoing swap!
Swapping columns 0, 2: Best Score: -1075.688245, Score: -1094.993225, Score: -1094.043765 Undoing swap!
Swapping columns 1, 3: Best Score: -1075.688245, Score: -1091.925630, Score: -1090.242705 Undoing swap!
Swapping columns 2, 4: Best Score: -1075.688245, Score: -1075.348717
